J       CT       CP       eta
0.095   0.1171   0.0511   0.217
0.121   0.1133   0.0507   0.270
0.146   0.1087   0.0498   0.318
0.169   0.1048   0.0491   0.360
0.192   0.1009   0.0484   0.399
0.217   0.0965   0.0475   0.441
0.240   0.0932   0.0469   0.477
0.267   0.0884   0.0459   0.514
0.290   0.0847   0.0452   0.543
0.315   0.0805   0.0444   0.572
0.334   0.0773   0.0438   0.590
0.358   0.0728   0.0427   0.610
0.380   0.0685   0.0416   0.626
0.407   0.0629   0.0399   0.641
0.431   0.0581   0.0385   0.650
0.453   0.0532   0.0370   0.652
0.477   0.0480   0.0354   0.647
0.480   0.0471   0.0351   0.645
0.507   0.0405   0.0331   0.622
0.528   0.0354   0.0315   0.594
0.551   0.0296   0.0297   0.549
0.574   0.0235   0.0279   0.484
0.601   0.0160   0.0254   0.378
0.623   0.0100   0.0234   0.265
0.652   0.0017   0.0207   0.052
0.671   -0.0039   0.0189   -0.139
0.700   -0.0123   0.0160   -0.540
0.719   -0.0178   0.0141   -0.906
0.747   -0.0265   0.0112   -1.773
0.774   -0.0347   0.0085   -3.171
