
DEFINITIONS:                                                                                         
         J=V/nD (advance ratio)                                                                               
         Ct=T/(rho * n**2 * D**4) (thrust coef.)                                                              
         Cp=P/(rho * n**3 * D**5) (power coef.)                                                               
         Pe=Ct*J/Cp (efficiency)                                                                              
         V  (model speed in MPH)


	V          J           Pe         Ct          Cp          PWR         Torque      Thrust             
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)             
         0.0        0.00      0.0000      0.1416      0.0620       0.108       1.132       1.624              
         1.5        0.03      0.0585      0.1394      0.0623       0.108       1.137       1.599              
         3.0        0.05      0.1146      0.1371      0.0625       0.109       1.141       1.572              
         4.5        0.08      0.1683      0.1346      0.0627       0.109       1.144       1.543              
         5.9        0.10      0.2197      0.1318      0.0627       0.109       1.144       1.511              
         7.4        0.13      0.2688      0.1288      0.0626       0.109       1.142       1.477              
         8.9        0.16      0.3154      0.1255      0.0623       0.108       1.138       1.439              
        10.4        0.18      0.3596      0.1217      0.0619       0.108       1.129       1.395              
        11.9        0.21      0.4013      0.1177      0.0613       0.107       1.119       1.350              
        13.4        0.24      0.4405      0.1136      0.0606       0.105       1.106       1.302              
        14.8        0.26      0.4775      0.1093      0.0598       0.104       1.092       1.253              
        16.3        0.29      0.5122      0.1048      0.0588       0.102       1.074       1.202              
        17.8        0.31      0.5448      0.1002      0.0577       0.100       1.052       1.149              
        19.3        0.34      0.5751      0.0954      0.0563       0.098       1.028       1.094              
        20.8        0.37      0.6028      0.0904      0.0549       0.095       1.001       1.037              
        22.3        0.39      0.6279      0.0853      0.0533       0.093       0.972       0.979              
        23.8        0.42      0.6503      0.0801      0.0515       0.090       0.940       0.919              
        25.2        0.44      0.6705      0.0745      0.0493       0.086       0.901       0.854              
        26.7        0.47      0.6882      0.0686      0.0469       0.081       0.856       0.787              
        28.2        0.50      0.7015      0.0626      0.0443       0.077       0.809       0.718              
        29.7        0.52      0.7096      0.0565      0.0416       0.072       0.760       0.648              
        31.2        0.55      0.7136      0.0502      0.0386       0.067       0.704       0.576              
        32.7        0.57      0.7119      0.0439      0.0354       0.062       0.646       0.503              
        34.1        0.60      0.7033      0.0378      0.0323       0.056       0.589       0.433              
        35.6        0.63      0.6830      0.0316      0.0290       0.050       0.530       0.363              
        37.1        0.65      0.6471      0.0254      0.0257       0.045       0.469       0.292              
        38.6        0.68      0.5855      0.0192      0.0222       0.039       0.406       0.220              
        40.1        0.71      0.4812      0.0128      0.0188       0.033       0.343       0.147              
        41.6        0.73      0.3017      0.0064      0.0156       0.027       0.284       0.074              
        43.1        0.76     -0.0016      0.0000      0.0126       0.022       0.229       0.000              
